User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dessa Bailey,@dessabailey,2021-05-21T06:12:47.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via Officer telling some truth OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Yudhisthirananda,@potato_vi,2021-05-21T06:11:59.000Z,The war is over now focus on the police brutality in and life,0,0,0
Bámidélé Chris,@Chrisbamidele,2021-05-21T06:11:52.000Z,to plan was glaring for everyone to see yet they deny it daily when we want to talk about it Was telling friend yesterday that the real cause an end to police brutality was she said it left the matter,0,1,1
Soon Be Packing It,@Travelnpack,2021-05-21T06:10:24.000Z,to If they do anything outside of walking the media and will scream police brutality They basically have zero power Are not to enforce anything,0,0,0
A Stud Terkel,@RJ_McReedy,2021-05-21T06:09:29.000Z,to and from writing about who broke the world and police brutality to writing about people seem like the same person at all get that the liberal media got to him with their about his writing about his time in Russia but come on,1,0,0
LéBiyi,@biyibjorn,2021-05-21T06:09:28.000Z,to as in is the fact that he admitted that the protest really about an end to police brutality Their aim was to recreate what in They to protest out of power they think the about who him will smile with them,1,1,1
shashaaaayacob,@shaaaaashayacob,2021-05-21T06:09:14.000Z,Police brutality Tweet Show this thread,0,3,0
arnap,@ahnaf_ariffin,2021-05-21T06:09:01.000Z,to rasa benda ni media orang cam and awareness about police brutality dah naik,0,0,0
Politically Homeless #ShockDoctrine #NHSPay15,@respeak_uk,2021-05-21T06:06:32.000Z,violence on the streets of Surely you mean far right extremism and police brutality on the streets of,0,0,6
𝑃𝑟𝑒𝑒𝑡ℎ𝑖𝑘𝑎 𝐴𝑙𝑎𝑔𝑎𝑟𝑎𝑠𝑎𝑚𝑦(ɴᴇᴡ ᴀᴄᴄ),@preetz99,2021-05-21T06:05:55.000Z,How come no one about all these days up until we the custodial death You only to the heat of the moment and stopped about him As soon as you saw standing against police brutality you intrude with case illogically,2,41,75
NotoSL,@SlNoto,2021-05-21T06:05:43.000Z,to and have been The government is dodgy the far right movement is not the best and there is lot of army and police brutality where might not be rightly but is exaggerated by the media which everyone,1,0,1
the first floppgender ✿ ❀,@wattehfack,2021-05-21T06:05:32.000Z,to people who get shot in of police brutality will be as they bleed out to learn that the cop that stolen their life for literally no reason is gay,0,0,0
Mpa Lukhele,@Black_RoseSD,2021-05-21T06:05:30.000Z,The landed we call upon all media to be present to witness Tweet The Name Good morning it be very busy,0,5,5
John Linko,@fllw_fan,2021-05-21T06:04:29.000Z,good story but mixed bag of news here The by the DA are positive step but the woman lawyer point would anything have without the publicity Colorado Who Year Old Woman With Dementia Face The two involved in the violent arrest that say left Garner with dislocated shoulder were criminally on,0,0,0
i need a break,@mister_savage_,2021-05-21T06:04:25.000Z,to is genuinely unbelievable how up and evil the does are And that not even taking into account what they do internationally just to one part of their The whole country police brutality for half year and somehow still killing,1,0,1
Zulaikha,@wowitszule,2021-05-21T06:03:11.000Z,Another police brutality Come on Tweet another death in police custody my heart hearing this injustice while police brutality goes unaddressed by they prosecute for writing the truth how many more until we finally have the,0,0,2
shahhahaha,@shahswiny,2021-05-21T06:02:57.000Z,When came across this tweet people keeping on the comparison in between the issue and the police brutality Both are about humanity If you just stand up for only one of the then it clearly double standard,0,0,6
Journalism Communication and Media (JCM) Centre,@JCMCentre,2021-05-21T05:55:05.000Z,deep seated frustration against He for consistent training and of to purge them of their oppressive colonial mentality,0,0,0
mallgoth manwhore malewife,@yourpinkblanket,2021-05-21T05:52:01.000Z,police brutality Holy man are really enough to really do this come pick me up Quote Tweet ultimate fish May My Grandpa used to tell me about how would beat gay men to death in the streets after burning down their Just fun history fact Show this thread,2,0,5
Ivan Kolev,@igkolev,2021-05-21T05:49:35.000Z,to brutality is serious issue Is it racist Mostly no Why Because how much police with people of different race on crime racial profile Now that completely different story and police is not significant factor there,0,0,0
s i l a n . s r,@tharmasilan,2021-05-21T05:48:46.000Z,see no between on and police brutality in Both are basic HUMAN just on different scale If we can voice out as nation for we SHOULD voice out on Police Abuse for OUR OWN PEOPLE too,0,4,8
SYork,@TreesB59ABV,2021-05-21T05:48:28.000Z,to and true The financial legal and organizational that enable police brutality and homicidal violence must be or,0,0,0
Eric J,@EricJafMN,2021-05-21T05:46:45.000Z,lie They are to lie to try to get This to false It also to consider lying part of their job Change the law which lie in Tweet Comrade Cat They this man and told his family he in car accident twitter status Show this thread,0,0,1
Hazwan,@hazwanghanii,2021-05-21T05:46:22.000Z,Police brutality Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,0
جوزيف سورين,@Jr70Sivesh,2021-05-21T05:42:59.000Z,What the Another custodial death of and we still haven gotten any And it from the same police station The of the timing is so suspicious,0,0,0
𝓢𝓱𝓪𝓪,@annushaamercy13,2021-05-21T05:40:08.000Z,What an actual Another custodial death of That is what and we still haven gotten any Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,1
Sonu Mohkh,@sonuverse,2021-05-21T05:37:44.000Z,If this what is Seize the bike fine them up but beating the crap out of what to be teen till the baton split into What is this,1,0,0
Omar Othman,@omar_othmannn,2021-05-21T05:37:14.000Z,Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,0,0
Sidrah,@SidrahDP,2021-05-21T05:36:51.000Z,Needless to say am not for police brutality and Only the disparity between the treatment out,0,3,36
batcat,@aidathecat,2021-05-21T05:36:34.000Z,Outrageous We haven even seen any and now there another victim Police brutality must be acknowledged action taken immediately to stop this madness Tweet year old security guard was picked up by police from his workplace in Bandar Baru this morning for into an extortion case Show this thread,2,60,67
Johnny Gonzales. from Salt Lake City Utah,@juanfgonzales72,2021-05-21T05:34:41.000Z,Please someone from another state come and put me under if you re not dirty law enforcement or your real government official who is against government corruption and police brutality police brutality and staged or if you re good psychologist put me under hypnosis so,1,0,0
Johnny Gonzales. from Salt Lake City Utah,@juanfgonzales72,2021-05-21T05:34:40.000Z,Kill me they did experiment on me ago staged event and now they re with my heart so bad with these sensory they have SWAT doctor messing with my heart my God the torture because of my and my and over job police brutality,1,0,0
Lisa Guerra is #VaxedAndMasked,@ElleGee72,2021-05-21T05:31:01.000Z,This is so disturbing literally had to stop reading it We are disgusting species His family they were told he in car wreck Video now was dragged and by family they were told he in car wreck Video now was After fatal encounter with the State Police family said police told them he after into tree during high speed chase,0,0,0
OWLSI- Old White Lady Said it,@OWLSI1,2021-05-21T05:30:54.000Z,to,0,0,0
Dee Ibdul Jackson,@DeeIbdulJackson,2021-05-21T05:30:47.000Z,another very informative and compelling presentation Pattern and Practice What Trump Can Teach Us About Con Law What can President do when it comes to the approximately locally police around the US The infamous Rodney,0,0,0
Camille Broudy,@CamilleBroudy,2021-05-21T05:29:43.000Z,They black man in West if police brutality hit home for you yet it should,0,0,0
Big Danky,@2KrunkVillain,2021-05-21T05:28:43.000Z,to and were about people dying from police brutality th was nothing but bunch of sore who don know how to take loss Huge difference,0,0,0
Sharona.bennett31@gmail.com,Sharona.bennett31@gmail.com,2021-05-21T05:28:42.000Z,have no problem with everyone wanting to protect but when is anyone going to do something about police brutality towards black men when Quote Tweet Bowman sorry Officer your brother At what point will stop treating death by police murder like death by natural just die He was twitter status,0,0,0
나나,@eriinnana,2021-05-21T05:28:38.000Z,Police brutality need to stop It become even more worse now,0,0,1
Yhagunan,@Yhagunan,2021-05-21T05:27:14.000Z,Yet another been due to Police brutality and yet no are taken What is happening within the nation is yet to be and this is what apartheid of the nation who cant solve happening right of your Quote Tweet Free Today there are surrounding death DAP,0,0,0
Fandomguy,@sciencefandom,2021-05-21T05:26:52.000Z,to and rocket attack is not fair response to police brutality What al Al was not an attack It was riot style crackdown,1,0,0
Nicholas Barrett,@PTNickB,2021-05-21T05:26:48.000Z,to that justify police brutality must be exposed and the that the behavior must be overcome,1,1,1
Truthhurts,@PeraphsnotTruth,2021-05-21T05:25:56.000Z,FOUND OUT HOW TO END POLICE BRUTALITY The Left our nation as systemically racist as people from all over the world are begging for an opportunity to come to the nation in the world to succeed via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
KhabarNazar,@KhabarNazar,2021-05-21T05:24:27.000Z,Exactly they already collected of from poor public They should now distribute mask People may have any kind of urgency or difficulty at any moment Police is not friend but Dragon SATANIC Tweet to and happening Just give mask to her show some kindness to act is beyond of my mind,0,0,0
Farwina Faroque©,@FarwinaFaroque,2021-05-21T05:23:53.000Z,Current world crisis Sri School Racism US Covid Anything else missing Let continue ourselves help improve the world because WE CAN,0,0,0
nihil interit,@NInterit,2021-05-21T05:22:59.000Z,Canada exist Constant police brutality Forced Vaccine It closer to North than to Democracy It took one year to destroy Tweet Jordan Just try it the power to silence fine for something Rogan or impose on such as Sam an obligation to contribute content is as dangerous as it is absurd,0,0,2
Cecilia Nguyen,@sociologycecil,2021-05-21T05:22:14.000Z,We need to think about we have both on off line what we hold How do we stop the perpetuation of discrimination When will stop,0,0,0
𝐶ℎ𝑎𝑝𝑜,@ayoBDB,2021-05-21T05:21:57.000Z,to and about the police brutality and,0,0,0
"Michele Fishman,M.Ed",@mfpcrules,2021-05-21T05:21:55.000Z,Please read the story and the and tell us how many are enough corruption Tweet POLICE STATION JUST AND YOUNG LADY NOW ATTENTION gavel Show this thread,0,1,0
OWLSI- Old White Lady Said it,@OWLSI1,2021-05-21T05:16:10.000Z,to Enforcement leadership always the WARPED of to account for the VALUE that racist do NOT see in brown skin different value different treatment,0,0,0
SherryScalzoLamberto,@littleponies,2021-05-21T05:15:57.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Samuel Davis,@myeleaux,2021-05-21T05:15:13.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Reina (Commissions ~ OPEN),@ArtOfReinaV,2021-05-21T05:13:49.000Z,Quote Tweet Skelter twitter status,0,1,0
Daddy Chunky,@Deevagaran4,2021-05-21T05:13:33.000Z,Police brutality or not the police is responsible in the welfare and the safety of the person being is well taken care of However it weird for the person to just randomly pass away while being like there is some sort of Quote Tweet police brutality kerana dan media massa twitter status,1,0,0
DumperGroyper,@TPoopfart,2021-05-21T05:13:28.000Z,to brutality,0,0,0
Tomthunkit™,@TomthunkitsMind,2021-05-21T05:13:14.000Z,If you want to get woke instead of just Black Matter listen learn what it like to be black in Learn the root of systemic racism police brutality These are very informative learned lot,0,1,0
Jo-Lynn's Expressions,@jjlynn5110_jo,2021-05-21T05:12:52.000Z,Where is the Hate Crime Bill for,0,0,0
,@eunbiMlLF,2021-05-21T05:12:39.000Z,for up the whole issue with he to me why was wrong for pushing personal experience onto the issue of police brutality of hong since understand where he was coming from was quite aggressive we both didnt fully Quote Tweet yeah,1,0,1
tim,@chicagosuntims,2021-05-21T05:11:20.000Z,to colleen and brutality is real,0,0,1
DOLLAROCRACY.com,@DOLLAROCRACY,2021-05-21T05:10:37.000Z,to aka Soup Boy is for misogyny racism police brutality against people of color US Right to Vote and the Destruction of Democracy What platform,0,0,1
Jessica,@MarbellaUnicorn,2021-05-21T05:10:07.000Z,The nonstop me too for me is every police brutality case The are The are The are evil,1,0,1
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T05:08:36.000Z,To all TI you must avoid and with in public it may be set up by agent working for the Police and Secret to provide them with the opportunity to introduce poisonous substance on you,0,5,5
Anthony AV,@UnorthodoxPop,2021-05-21T05:07:32.000Z,to and their nay vote is obviously going to fix police brutality racial injustice and mass incarceration,0,0,1
Yue Kin,@limyuekin,2021-05-21T05:07:04.000Z,notice how all the severe of police brutality coming to light involve innocent dark skinned people you cannot tell me institutional and systemic racism is Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,6,7
Element Z,@elementzmusic,2021-05-21T05:05:00.000Z,What is it with Police and lack of respect for the public crime less than could get you broken arm and dislocated shoulder Or might get the life taken right out of you when cop their knee on your neck Tweet Criminal were handed down to two former Colorado police after they forcefully an elderly woman with dementia last year Garner was for shoplifting but ended up with broken arm and dislocated shoulder,0,0,0
Tomthunkit™,@TomthunkitsMind,2021-05-21T04:58:14.000Z,If you want to get woke instead of just Black Matter listen learn what it like to be black in Learn the root of systemic racism police brutality These are very informative learned lot,0,0,0
Mauricio,@Dsmauricio,2021-05-21T04:58:12.000Z,this gentleman was talking in radio about the peaceful in and police brutality can you people in my help me with him some of peaceful for his enlightenment,2,0,0
Slurmz Mackenzie,@spinart7,2021-05-21T04:57:49.000Z,police Tweet PROTEST Video isolating pro them to disperse and rushing them for mass while demonstrate safely nearby Footage is from Clip was on RUST channel,0,1,1
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T04:57:23.000Z,To all TI be careful with what you on your computer if you are used to suicide and murder the Police and Secret you could use it in their plan to either destroy you or put you away in prison your history as evidence,0,1,2
Larry Andrade,@larry_andrade,2021-05-21T04:55:28.000Z,to us stop police brutality in please,0,0,0
Brandon Singer,@bmichaelsinger,2021-05-21T04:55:01.000Z,Police brutality Tweet May Police violence Today video that LA police killing in May Police told family he in car accident In fact they beat him as they dragged him face down along the road Show this thread,0,0,0
julia,@Julia_Ebbinga,2021-05-21T04:54:21.000Z,call me said police brutality cool what,0,0,0
Shiny Butterfly,@ThankPlay,2021-05-21T04:53:26.000Z,Ethnic Tweet Nash Call it what you want This is MURDER Not racially MURDER The same days apart As an any day might be my last There is no hope in this country,0,0,0
So I am designing NFTs,@ShuckMyBhauls,2021-05-21T04:53:24.000Z,low poly vector in memory of police brutality victim feel free to share respectfully,2,206,216
End Police brutality,@ZuzileMamba,2021-05-21T04:52:15.000Z,to birthday,0,0,1
blurryface,@Afnan_shhh,2021-05-21T04:51:54.000Z,The only the dying from We still need to support to rebuild themselves we need to support people in East against illegal and police brutality THIS OVER YET Tweet Sanders Let us hope that the in But that not enough Our job now is to support desperately humanitarian and reconstruction aid to people and find way to finally bring peace to the region,0,1,0
Nnelove,@Nnalove,2021-05-21T04:51:07.000Z,to and brutality in souther part of the country all because we for referendum,0,0,0
hella tired hella tried,@koybashimarubih,2021-05-21T04:50:48.000Z,do not know how to articulate this new fear just unlocked without speaking it into existence But in the of and artistic virtual profit of black death It only matter of time till actual of police brutality become,1,0,0
The Americana Muslim,@AmericanaMuslim,2021-05-21T04:50:07.000Z,Police brutality is unacceptable anywhere period Quote Tweet Mark Stone May saw lot more of entirely unnecessary provocative behavior by police military today At Gate stun thrown at peaceful group in Jarrah skunk water fired on of tear gas,0,0,0
,@kanekipod,2021-05-21T04:48:04.000Z,to and up and police brutality and trying to compare it to phrase which it is not me all need to know about you need ur phone taken away like,1,0,1
FarW3sT spaz LoC,@AlmightyFrazier,2021-05-21T04:47:20.000Z,bout to sue them dirty son of Police brutality lying,0,0,0
Daryaft,@DaryaftLongform,2021-05-21T04:41:51.000Z,In Small Town Battle for Bloody Past and an Uncertain Future Small Town Battle for Racial Justice Bloody Past and an Uncertain Future Black Matter activist die hard Confederate loyalist sheriff who won back down In place where are restricted and violence imminent many cry We don,0,0,0
pamalo galo,@GaloPamalo,2021-05-21T04:40:23.000Z,to and have to say that when you start saying that other need to be locked up over talking about common media hope you never say anything about or police brutality cause you re treating like it game,3,0,0
Meg C.,@LadyMegSoprano,2021-05-21T04:38:50.000Z,to and totally the same thing My don know is totally the same as racist police brutality,1,0,10
Anand K.Vajapeyam,@vajapeyam,2021-05-21T04:37:03.000Z,video he was beaten and by police after auto accident family they were told he in car wreck Video now was After fatal encounter with the State Police family said police told them he after into tree during high speed chase edition,0,0,0
Nicolas Van Keuren,@grenader3000,2021-05-21T04:36:48.000Z,FOUND OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Mylène†Eastertide 2021,@CopperBronzed,2021-05-21T04:35:58.000Z,Tweet Daily Former Colorado Who Year Old Woman With Dementia Face Via,0,0,1
#Endsars ! END POLICE BRUTALITY!!,@I_Be_Old_Warri,2021-05-21T04:35:51.000Z,to and shift the goal post we talking here,0,0,0
save DEMOCRACY,@VippusaO,2021-05-21T04:35:13.000Z,If you want to get woke instead of just Black Matter listen learn what it like to be black in Learn the root of systemic racism police brutality These are very informative learned lot,0,0,0
Mason Murphy,@murfalicious2,2021-05-21T04:35:01.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
JonnyBoy,@JonnyDrama946,2021-05-21T04:34:00.000Z,to and like your more twisted than he is Do you know of any police brutality that taken place Resisting and threat in front of that have the legal right to shoot you is another topic but would avoid that risk as citizen,0,0,0
Maria Maldonado,@MariaCMaldonado,2021-05-21T04:33:35.000Z,so police officer was by People have been by business have been and burned down are being blocked fake news about police brutality been diffused but YOU only look through the keyhole Quote Tweet Mar Cabal Para NO hay No hay,0,0,0
Anil Vadak,@anil_vadak,2021-05-21T04:33:25.000Z,to chi police,0,0,0
wearing a strap to walmart,@emothickstud,2021-05-21T04:32:44.000Z,to and brutality and racism,1,0,3
Daniel Tames,@DanTames,2021-05-21T04:32:36.000Z,Love it when like this of truth and simple Want to end any notion of police brutality and racism just listen to this FOUND OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
AuddieAtlanta,@AudreyMiles18,2021-05-21T04:31:52.000Z,Video You Be Able to Breathe Officer Dying Man via You Be Able to Breathe Officer Dying Man The disturbing video that he can breathe to which one officer You be able to breathe you stupid bastard,0,0,0
izz,@izqsme,2021-05-21T04:27:15.000Z,According to the police statement the cause of death due to heart attack disease but SOME it related to police brutality in custodial death If its true our police are turning into US police that against black people No difference Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,2,0
Alif,@paprikdaging,2021-05-21T04:27:13.000Z,CUSTODIAL at the SAME BALAI POLICE BRUTALITY MISCONDUCT,1,0,0
Bozack Morris,@BozackMorris,2021-05-21T04:26:08.000Z,damn showing this police brutality video with They treating this man like the cartel,0,0,0
Frontline,@Frontlinestory,2021-05-21T04:25:35.000Z,This body camera video will shock you again about in the US It police violently an man who unresponsive during the process and later on the way to hospital video,0,0,0
Bleach,@Bleach06256035,2021-05-21T04:24:39.000Z,Newly video deadly arrest of Black man in via following media potentially sensitive content Change View,0,0,0
#MODERNASZN,@CindtriIIella,2021-05-21T04:24:15.000Z,to hilarious Its one of the first recent black that don involve being woke police brutality or Twitter humor,1,0,0
#Endsars ! END POLICE BRUTALITY!!,@I_Be_Old_Warri,2021-05-21T04:23:28.000Z,to we dey run am,0,0,1
𝙅𝙖𝙮𝙖𝙥𝙧𝙖𝙠𝙖𝙨𝙝 𝙈𝙤𝙝𝙖𝙣 @,𝙅𝙖𝙮𝙖𝙥𝙧𝙖𝙠𝙖𝙨𝙝 𝙈𝙤𝙝𝙖𝙣 @,2021-05-21T04:21:44.000Z,Story fearless village youth for the of the people of his village The story their unfairness and their rise against and police brutality by the hero and whole village The story goes through many metaphorical,1,6,0
#FreePalestine #EndTheDuopoly,@dawnsaffron,2021-05-21T04:21:21.000Z,to and think black activist haven been around police brutality since forever think Martin Black Al and countless haven been doing No Electric Sliding That for sure,0,0,1
Abigaile,@abigaile_n,2021-05-21T04:18:26.000Z,To extrapolate the right to autonomy is the central conflict in the social we see around us now This conflict is the result of growing inequality rising nationalism and gender based violence as well as the state response which is always police brutality,0,0,2
#Endsars ! END POLICE BRUTALITY!!,@I_Be_Old_Warri,2021-05-21T04:17:54.000Z,to hopeful,0,0,0
DesChristian,@CheerstoDes,2021-05-21T04:17:52.000Z,The fact that no one actually about us being the minority and also about the fact that police brutality is actually happening in our society is so up on so many,0,3,5
prithikka #justiceforganapathy,@prithikka29,2021-05-21T04:17:50.000Z,where is the POLICE BRUTALITY following media potentially sensitive content Change View,0,0,0
Bill de Blasio supports police brutality,@pinksteam,2021-05-21T04:17:40.000Z,Full live performance partially cover of Stray Stray WHO IS THE KING KINGDOM LEGENDARY WAR,0,0,0
Joel Widman,@joelrwidman,2021-05-21T04:16:37.000Z,to and where did violence come into play think there is enough video evidence of police brutality to show where violence came into play,2,0,0
mother asia,@aisyahsaraa,2021-05-21T04:16:09.000Z,the topic of police brutality in be concern amongst the community only an unjust system towards one community is an unjust system towards the entire country,0,1,2
#Innzopinion,@Graham1974Shane,2021-05-21T04:15:58.000Z,Police Tweet have been for for body but the city council won vote to give the for them Why City council like know that the footage often key evidence of,0,1,0
End Police Brutality,@EndPoli96884709,2021-05-21T04:15:20.000Z,to and Na slap you suppose collect for head as you Dey talk this nonsense,1,0,1
End Police Brutality,@EndPoli96884709,2021-05-21T04:14:49.000Z,to and you know the truth just chill out wish you can use this energy to talk about the real terrorist that have taken of our own people and our security But you go be you,1,0,1
#Endsars ! END POLICE BRUTALITY!!,@I_Be_Old_Warri,2021-05-21T04:13:40.000Z,to and,0,0,2
Usui,@UsuiTheUsotski,2021-05-21T04:13:36.000Z,to and violence against police brutality so on and so forth,1,1,1
Dr. MKN Meeting Lambat,@drfamfry,2021-05-21T04:13:35.000Z,to and EU sure the police brutality,0,0,7
Bill de Blasio supports police brutality,@pinksteam,2021-05-21T04:13:32.000Z,take one second here to not post about politics or the apocalypse and just say Stray are absolute and everyone should be with them Quote Tweet THE STAGE HOLY Show this thread,1,0,0
yeee,@IlzahWan,2021-05-21T04:11:50.000Z,please fight for this issue too Its the same damn station This be coincidence Police brutality must stop And please help us fight notice Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,3,2
H. Sadia,@HSmu12,2021-05-21T04:11:43.000Z,to He and repeatedly the he Comply you die Don comply you die The sheer terror Black men experience when they encounter police is unimaginable Fear noncompliance Noncompliance is then used to justify police brutality murder,0,0,0
aleja,@sungjaed6,2021-05-21T04:11:30.000Z,might finally be able to be active will also continue posting awareness of going on here haven ended and neither police brutality,0,0,1
kyle,@kgmusic86,2021-05-21T04:10:53.000Z,The album no love which is usually associated with Instead it on social poverty inequality pollution police brutality religion more It also the story of soldier who home failing to recognize his country,1,4,12
Andrew lin,@AndrewLin06,2021-05-21T04:10:34.000Z,Thin blue line is code for police were gang,0,0,2
Sezzvyniia James,@sezzvyniia,2021-05-21T04:10:29.000Z,Justice for other share boycott as though you can die for them Justice for own country suddenly everyone too blind to see,0,1,3
LaabaLaaba01,@____Laava_01__,2021-05-21T04:10:24.000Z,Before all come attack me one of the person who stood up for all is to stop and find justice for those people Nothing much,0,0,0
Zach 𓂀 فلسطين حرة,@therealzark,2021-05-21T04:10:03.000Z,to them Incompetent police brutality ing random guy because they thought he was zombie,0,0,2
kucingwangi,@bukanpikmeowww,2021-05-21T04:09:55.000Z,Aku yang main Black people and police brutality kat US Meanwhile in stand up police brutality police start twist May Part Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,1,1,3
End Police Brutality,@EndPoli96884709,2021-05-21T04:09:05.000Z,to and the truth,0,0,0
Zed,@zed_ap,2021-05-21T04:03:59.000Z,to and should investigate That why you have and legal system again we have police brutality all over the US likely is at turning point in US have to deal with lax gun don even have and still get beat down and even shot in the head,1,0,4
Jairo Rodriguez,@RealtorJairo,2021-05-21T04:03:41.000Z,Cop suspended amid of police brutality in video chief,0,0,0
Signal13app,@Signal13_App,2021-05-21T04:03:30.000Z,Signal Police Brutality My Turn to Talk,0,0,0
#StrongerTogether#Resist,@QweenAretha,2021-05-21T04:03:12.000Z,Fiery Speech Police Brutality via May Happy Birthday Fiery Speech Police Brutality In confrontation with the outside mosque in the death of Nation of member It was an event on by an,0,0,0
lena • fan acc,@sapphicslauren,2021-05-21T04:03:04.000Z,to petition sent them was for little boy who got by the police the police literally his body and his family only found him several later already dead that police brutality get that there was lot going on but it was one story,2,0,0
Terrence Shaw Beyonce,@chainshawmr1974,2021-05-21T04:00:14.000Z,to still nothing for police brutality and excessive force against unarmed black people where is our executive order look up this case was almost because of racial profile have and had hard evidence and,0,0,0
Wycked Yum,@Wycked_Yum,2021-05-21T04:00:05.000Z,to day in the were police brutality The stop so day they cut power sent in army they fired let air clear scooped up spent dead into empty trucks drive off it never Its quiet,1,1,1
Jeremy Morgan,@jstrad80,2021-05-21T03:59:40.000Z,to and just love how people continue to try to equate an attempt to overthrow the government and stop it electoral because of lie with rioting private over actual police brutality Not the same thing,6,0,24
Devonne,@demifcknlovato,2021-05-21T03:59:08.000Z,to was lot going on police brutality in the us at the time people could it or not give the post as much attention as they did when they posted the petition That just my opinion tho,1,0,2
Thiviya Tharshini,@blaugrana1358,2021-05-21T03:59:05.000Z,Now calling against all and of who were loud and vocal about certain international issue but can utter single word about police brutality racism land grab other happening IN Tweet May Indigenous lodge official complaint against timber giant The Fund and call for an end to the of tropical timber from,1,0,0
Alif,@paprikdaging,2021-05-21T03:58:40.000Z,to and we re now talking about blatant police brutality towards minority before insert under other people advocacy for other pressing issue advocate for ka do better,1,0,4
highgarden,@blacklotvs_,2021-05-21T03:58:14.000Z,to es es Not even the on the front line stop suffering from police brutality stun grenade head on for their because they have them for policeman to kill them,0,0,0
Street Dreamz Army,@Geedy_P,2021-05-21T03:57:47.000Z,speak on Police Brutality Mo Backlash from Lori via speak on Backlash from Lori,0,0,1
Chris Wise,@MildlyAutistic,2021-05-21T03:56:17.000Z,wish twitter was like and could say like Quick asleep make this pickle go viral and just launch myself to the front of the but instead just hyper aware of racism police brutality and the Genocide Anyway here the pickle,3,8,39
Marie,@LMarieVResists,2021-05-21T03:52:03.000Z,Cop suspended amid of police brutality in video chief via suspended amid of police brutality in video chief The is also helping the police department investigate news yahoo,0,1,1
"^O,..,O^",@2Abolish,2021-05-21T03:50:46.000Z,guy in van said This is national news while police brutality was happening nightly in Jarrah see throwing at armed their FEARLESS,1,0,0
Taylor,@MellaSoldier,2021-05-21T03:48:34.000Z,so disappointed in How you all this about helping the black community by stopping police brutality and the of but was quick to sign the anti bill What about the bill What about anti black hate crime bill,0,0,0
It's Pronounced RachELLE,@RachelleGV1020,2021-05-21T03:48:20.000Z,incredibly and happy for the community but why the Black community after of slavery segregation and Crow of police brutality and the many MANY and school and workplace discrimination gotten the same,0,0,0
JustAnotherTwit,@sounddude18,2021-05-21T03:47:55.000Z,to and brutality were largely peaceful yet this was not the response from your party Why What the difference,0,0,0
save DEMOCRACY,@VippusaO,2021-05-21T03:47:17.000Z,If you want to get woke instead of just Black Matter listen learn what it like to be black in Learn the root of systemic racism police brutality These are very informative learned lot,0,0,0
End Police Brutality in Nigeria!,@moe_official10,2021-05-21T03:47:09.000Z,to and this disrespect,1,0,0
"Mr. Davis, Coffee and Cocaine Czar",@TheHebrewsauru1,2021-05-21T03:47:07.000Z,This is dumb have police brutality Tweet Group of about from across are walking from Terrace Park to the Law Enforcement Center in downtown to protest police brutality Last crossed Second avenue and Spring Street Show this thread,0,0,0
Forsyth County Republican Party,@FCNCGOP,2021-05-21T03:46:46.000Z,menace of police brutality against black please show us one police officer on any of your who wakes up and go do some menacing of black people today That happen We know it you can do that Cut it out Quote Tweet Since murder last May the US engaged in another reckoning with racial caste examining the enduring menace of police brutality against Black Analysis,0,0,0
KB,@mericanhooligan,2021-05-21T03:46:18.000Z,LET IT BE KNOWN THAT JUST WATCHED THE SHOOT KILL SOMEONE FAMILY DOG ON OUR WATCHED THE DOG CRY STRUGGLE WHILE HIS OWNER HIM QUIT NOW BEFORE THIS CITY IS ON UR DOORSTEP FAT WE ARE NOT OF,0,0,0
